Customer_ID,Customer_Name,Product,Category,Region,Sales,Profit,Quantity
101,Ravi,Laptop,Electronics,South,55000,12000,2
102,Anjali,Mobile,Electronics,North,30000,8000,3
103,Kiran,Tablet,Electronics,East,20000,5000,2
104,Priya,Headphones,Accessories,West,5000,1200,5
105,Aman,Monitor,Electronics,South,15000,4000,1
106,Neha,Keyboard,Accessories,North,3000,700,4
107,Rahul,Mouse,Accessories,East,2000,500,6
108,Divya,Printer,Electronics,West,12000,3000,2
109,Arjun,Camera,Electronics,South,25000,7000,1
110,Sneha,Speaker,Accessories,North,6000,1500,3
